experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.01,0.0,0.17,0.16333333333333333,0.10777208922020062,0.09748350109063442,0.11838747974179788,0.10900000000000001,300,20260823,0.0,0.12954555008325835
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.02,0.0,0.33666666666666667,0.3333333333333333,0.11660240253729329,0.10657959981223245,0.12635624649532834,0.11800000000000001,300,20260823,0.0,0.13761742180959868
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.04,0.0,0.7666666666666667,0.7533333333333333,0.13512396571357516,0.12360356996592733,0.14712023106233657,0.136,300,20260823,0.0,0.0762170978243244
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.07,0.0,0.99,0.99,0.16328818353310798,0.15084605927759528,0.17891202885896024,0.16300000000000003,300,20260823,0.0,0.02152033278635912
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.1,0.0,1.0,1.0,0.18867200260953354,0.17346174484658525,0.20225369024284404,0.19,300,20260823,0.0,0.08821173403828642
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.15,0.0,1.0,1.0,0.23511759427147244,0.21761258959481977,0.2479913721073892,0.23500000000000001,300,20260823,0.0,0.006667812402083584
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.22,0.0,1.0,1.0,0.29773383331873493,0.2816416739469001,0.3148546376841673,0.29800000000000004,300,20260823,0.0,0.012975191256069607
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.32,0.0,1.0,1.0,0.38502271984995834,0.3695233934234551,0.3998107309899893,0.388,300,20260823,0.0,0.12801307328223288
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.45,0.0,1.0,1.0,0.5060151775043549,0.49136922196679406,0.5174482519990042,0.505,300,20260823,0.17,0.041405362139354196
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.62,0.0,1.0,1.0,0.6581451758965687,0.6462488875256471,0.6686821845597296,0.658,300,20260823,1.0,0.006577919664589871
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.8,0.0,1.0,1.0,0.8192496058352976,0.8137240855982049,0.8268002807524613,0.8200000000000001,300,20260823,1.0,0.05174874472262303
phase3_power_surface,n1000_a0.1_p1,1000,1,100,0.1,0.93,0.0,1.0,1.0,0.9367538047791326,0.934148666151023,0.9395519562901199,0.937,300,20260823,1.0,0.04244348758818717
